method,images,small_object_recall,map50,map50_95,fps
Original E10,548,0.2205079962370649,0.20757947059938173,0.10334607637256925,78.11107577358855
Matched control,548,0.18035747883349013,0.15489424117602962,0.07263526858279869,61.19778949094409
Multiscale,548,0.3228974600188147,0.2247982924146883,0.1122494417031495,15.272819886632595
SAHI,548,0.4026340545625588,0.2273030727926982,0.11247414186817142,3.570324898002032
Focal Loss,548,0.192173095014111,0.14495135735674558,0.06951134384920381,55.35085950295136
Small-object resampling,548,0.1819379115710254,0.15283528294034837,0.07320118652878364,61.259337717190796
