"metric","aerial_e10_baseline","aerial_balanced_e12","absolute_delta","relative_delta_percent"
"Precision at 0.25","0.35764309930956","0.259369545127837","-0.0982735541817232","-27.4781071888268"
"Recall at 0.25","0.37286823705462","0.391031760365334","0.0181635233107149","4.87129809022972"
"AP50","0.207579470599382","0.198228562282693","-0.00935090831668878","-4.50473656652472"
"mAP50-95","0.103346076372569","0.0995840186076523","-0.00376205776491695","-3.64025214789431"
"Small-object recall","0.220507996237065","0.242558795860771","0.0220507996237065","10"
"Heavy-occlusion recall","0.190861957226183","0.223914452365522","0.0330524951393389","17.3174872665535"
"FPS","78.1110757735886","73.4325900748714","-4.67848569871718","-5.98952920873624"
