key,method,images,precision_at_conf,recall_at_conf,small_recall,medium_recall,large_recall,heavy_occlusion_recall,map50,map50_95,fps
full_yolov8s_standard_ref,Full YOLOv8s standard ref,548,0.7187632615944225,0.6117804896927165,0.5117591721542804,0.8233177401943145,0.898876404494382,0.37848347375243035,0.46554949132501316,0.27248029171859345,96.0764448699906
standard,Standard slim,548,0.711145703611457,0.5893340901468046,0.4868109125117592,0.8065851025548758,0.8792134831460674,0.355800388852884,0.4349767763282659,0.24437870763104982,96.22556283286892
multiscale_768_960_1280,Multi-scale 768/960/1280,548,0.6226572360743969,0.6745788075027735,0.5907431796801506,0.8524649154372076,0.9091760299625468,0.45787427090084254,0.4785581643642553,0.27661002996539374,20.979088871183144
sahi_640_overlap020,SAHI 640 overlap 0.20,548,0.5749624248496994,0.7106220490724735,0.6456067732831609,0.8474271320618928,0.9044943820224719,0.483149708360337,0.48877114427642737,0.2723064134615395,10.044477072803685
control_finetune_e6_eval,Matched fine-tune e6,548,0.7035348125478195,0.5931009571970381,0.4932455315145814,0.8046059733717165,0.8764044943820225,0.3577446532728451,0.43350348858186455,0.2446646497087553,98.27433496370996
focal_gamma2_e6_eval,Focal gamma 2 e6,548,0.5671510843156663,0.6504553781057303,0.5615051740357478,0.8390608132421734,0.900749063670412,0.43551523007128967,0.43044354303239796,0.2435169773651206,92.46900217181853
small_resample_strength2_e6_eval,Small-object resample e6,548,0.7080380455054084,0.5877086612141696,0.4860959548447789,0.8027168046059734,0.8782771535580525,0.3577446532728451,0.4300497221139342,0.24096525235336624,98.28397788900509
