method,precision,recall,map50,map50_95,inference_ms,fps,engine_bytes,delta_precision,delta_recall,delta_map50,delta_map50_95,delta_fps
INT8 bright,0.5407818150032659,0.44207223119439254,0.4329647605585697,0.24669940390352393,2.995035948840872,333.8858087453062,69225892,-0.019809083183959242,-0.023825371981751886,-0.024975172598034556,-0.023289573049095708,-143.30748654660954
Backbone FP16,0.5453473973072269,0.4563670678967486,0.4441795623117848,0.254117308968178,2.4163270071149934,413.8512697393403,19167193,-0.015243500879998262,-0.009530535279395846,-0.013760370844819458,-0.015871667984441618,-63.34202555257542
Neck FP16,0.5442749662476833,0.4411432244642327,0.4316000075004025,0.2457466250561269,2.7073430659331854,369.3658231138554,70382585,-0.01631593193954184,-0.024754378711911718,-0.026339925656201746,-0.024242351896492736,-107.8274721780603
Head FP16,0.5568233128138336,0.44957518693884396,0.4445389674461443,0.2616761381582249,2.765564598566062,361.58981804962986,68190353,-0.003767585373391613,-0.016322416237300463,-0.013400965710459956,-0.008312838794394761,-115.60347724228586
FP16,0.5605908981872252,0.4658976031761444,0.45793993315660425,0.26998897695261964,2.095586861479823,477.1932952919157,22747305,0.0,0.0,0.0,0.0,0.0
