method,precision,recall,map50,map50_95,inference_ms,fps,engine_bytes,delta_precision,delta_recall,delta_map50,delta_map50_95,delta_fps
FP16,0.5605908981872252,0.4658976031761444,0.45793993315660425,0.26998897695261964,2.095586861479823,477.1932952919157,22747305,0.0,0.0,0.0,0.0,0.0
INT8 dark,0.5383351302583682,0.43950549729265165,0.4316712667727824,0.24516257039993924,2.961989780932573,337.61088793667386,69122402,-0.022255767928856973,-0.026392105883492778,-0.02626866638382186,-0.024826406552680397,-139.58240735524186
INT8 bright,0.5407818150032659,0.44207223119439254,0.4329647605585697,0.24669940390352393,2.995035948840872,333.8858087453062,69225892,-0.019809083183959242,-0.023825371981751886,-0.024975172598034556,-0.023289573049095708,-143.30748654660954
INT8 dense,0.5391752128772002,0.43405315319413595,0.4253900152507909,0.24360293221093723,2.975120255481949,336.12086710021305,69180435,-0.021415685310025023,-0.03184444998200847,-0.03254991790581335,-0.026386044741682407,-141.07242819170267
