model,precision,recall,map50,map50_95,small_recall,heavy_occlusion_recall,all_recall_at_iou,fps
YOLOv8s teacher,0.59833,0.48712,0.49166,0.29332,0.5200774443368829,0.3796234028244788,0.6182201580183643,79.34033798404305
Slim baseline,0.5709,0.45848,0.45821,0.26961,0.4955275895450145,0.36112979152656355,0.5967595558402733,77.28407484538745
Distilled slim,0.57175,0.46396,0.45867,0.26987,0.4952952565343659,0.37020847343644925,0.5964659406363442,79.86319676444201
